Sl No,Customer Name,Last Year,April,May,June,July,August,September,October,November,December,January,February,March,Total,Action
112,Swer Service Station,0,0,0,0,0,0,0,0,0,-636,0,126474,0,125838,Remove
113,Tuber Auto Agencies,0,0,0,0,0,0,0,0,0,0,0,62405,0,62405,Remove
114,Tuber Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
115,Tyrshi Filling Station,0,0,0,0,0,0,0,0,0,20085,0,162549,0,182634,Remove
116,Umkrukru service Station,0,0,0,0,0,0,0,0,0,85526,0,106992,0,192518,Remove
117,Umran Fuels,0,0,0,0,0,0,0,0,0,0,24396,0,0,24396,Remove
118,Umsning Fuel Station,0,0,0,0,0,0,0,0,0,0,0,49278,0,49278,Remove
119,United Hills Super Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
120,Upper Shillong Petrol Service Station,0,0,0,0,0,0,0,0,0,29722,0,43695,0,73417,Remove
121,west jaintia filling station,0,0,0,0,0,0,0,0,0,70709,0,0,0,70709,Remove
